retailer                type      result
------------------------------------------------------------
The Maple Store         shopify   OK (has products)
Pickings & Parry        shopify   OK (has products)
Informale               shopify   OK (has products)
Double Monk             shopify   OK (has products)
Up There Store          shopify   OK (has products)
Wythe                   shopify   OK (has products)
Gitman Vintage          shopify   OK (has products)
Bill's Khakis           shopify   OK (has products)
Mercer & Sons           custom    (custom, skipped)
O'Connell's             custom    (custom, skipped)
Brooks Brothers         custom    (custom, skipped)
J.Press                 custom    (custom, skipped)
Spier & Mackay          custom    (custom, skipped)
Standard & Strange      shopify   OK (has products)
Lost & Found            shopify   OK (has products)
namu shop               shopify   OK (has products)
Independence Chicago    custom    (custom, skipped)
Drake's                 shopify   OK (has products)
Clutch Cafe             shopify   OK (has products)
Trunk Clothiers         shopify   OK (has products)
END.                    custom    (custom, skipped)
Kamakura Shirts         custom    (custom, skipped)
BEAMS global            custom    (custom, skipped)
